x,y
-241.28601900992916,251.46691797497212
-234.51412854775955,252.1749782341555
-227.7111413929937,252.45643077784314
-220.9039058279422,252.31016484142853
-214.1192869014501,251.73675766974014
-207.3840604048229,250.73847223891988
-200.72480720001028,249.3192483254898
-194.16780831708846,247.4846869578547
-187.7389412350404,245.2420283116011
-181.46357775516884,242.60012313583252
-175.36648387018803,239.56939782330608
-169.4717220241649,236.16181326222363
-163.80255614904507,232.3908176320705
-158.38135985254212,228.27129332979482
-153.22952811972925,223.819498235786
-148.36739287680794,219.0530015514484
-143.81414275028374,213.99061446159004
-139.58774733822392,208.6523158952698
-135.7048862924634,203.05917367809235
-132.18088349163932,197.23326138712514
-129.02964656484286,191.19757123657462
-126.26361200456085,184.97592333802044
-123.89369608552175,178.5928716933177
-121.92925178314641,172.07360729116903
-120.37803186162706,165.44385868980115
-119.24615827730898,158.72979047809963
-118.5380980181256,151.95790001593005
-118.25664547443795,145.15491286116418
-118.40291141085257,138.34767729611266
-118.97631858254094,131.5630583696206
-119.97460401336124,124.82783187299334
-121.39382792679126,118.16857866818079
-123.22838929442642,111.61157978525893
-125.47104794068001,105.18271270321085
-128.11295311644858,98.90734922333934
-131.143678428975,92.81025533835859
-134.55126299005747,86.91549349233541
-138.32225862021062,81.24632761721554
-142.4417829224863,75.82513132071254
-146.8935780164951,70.67329958789976
-151.66007470083264,65.81116434497848
-156.72246179069106,61.25791421845426
-162.06076035701133,57.03151880639439
-167.65390257418886,53.14865776063385
-173.47981486515596,49.62465495980983
-179.51550501570648,46.47341803301336
-185.73715291426063,43.70738347273135
-192.1202045589634,41.33746755369228
-198.6394689611121,39.37302325131691
-205.26921756247995,37.82180332979756
-211.98328577418152,36.689929745479446
-218.75517623635105,35.98186948629609
-225.55816339111686,35.70041694260844
-232.36539895616846,35.846682879023064
-239.15001788266048,36.42009005071144
-245.8852443792878,37.418375481531754
-252.5444975841003,38.83759939496176
-259.1014964670221,40.6721607625969
-265.5303635490703,42.91481940885052
-271.80572702894176,45.556724584619076
-277.90282091392254,48.58744989714552
-283.79758275994567,51.99503445822795
-289.4667486350655,55.766030088381086
-294.88794493156854,59.88555439065681
-300.03977666438135,64.33734948466557
-304.90191190730263,69.10384616900316
